Provinsi/Kabupaten/Kota,,,,,,,
,[Metode Baru] Indeks Pembangunan Manusia,,,,,,
Kota Cirebon,75.89,76.46,,,,,
Kota Bekasi,82.46,83.03,,,,,
Kota Depok,81.86,82.38,,,,,
Kota Cimahi,78.77,79.46,,,,,
Kota Tasikmalaya,73.83,74.47,,,,,
Kota Banjar,72.55,73.08,,,,,
JAWA TENGAH,72.79,73.39,,,,,
Cilacap,70.99,71.83,,,,,
Banyumas,73.17,73.86,,,,,
Purbalingga,69.54,70.24,,,,,
Banjarnegara,68.61,69.14,,,,,
Kebumen,70.79,71.37,,,,,
Purworejo,73.6,74.28,,,,,
Wonosobo,68.89,69.37,,,,,
Magelang,70.85,71.45,,,,,
Boyolali,74.97,75.41,,,,,
Klaten,76.95,77.59,,,,,
Sukoharjo,77.94,78.65,,,,,
Wonogiri,71.04,71.97,,,,,
Karanganyar,76.58,77.31,,,,,
Sragen,74.65,75.1,,,,,
Grobogan,70.97,71.49,,,,,
Blora,69.95,70.63,,,,,
Rembang,71,71.89,,,,,
Pati,73.14,73.59,,,,,
Kudus,75.89,76.71,,,,,
Jepara,73.15,73.85,,,,,
Demak,73.36,74.07,,,,,
Semarang,74.67,75.13,,,,,
Temanggung,70.77,71.33,,,,,
Kendal,73.19,73.86,,,,,
Batang,69.45,70.2,,,,,
Pekalongan,70.81,71.4,,,,,
Pemalang,67.19,68.03,,,,,
Tegal,69.53,70.23,,,,,
Brebes,67.03,67.95,,,,,
Kota Magelang,80.39,81.17,,,,,
Kota Surakarta,83.08,83.54,,,,,
Kota Salatiga,84.35,84.99,,,,,
Kota Semarang,84.08,84.43,,,,,
Kota Pekalongan,75.9,76.71,,,,,
Kota Tegal,76.15,77.02,,,,,
D I YOGYAKARTA,80.64,81.07,,,,,
Kulon Progo,75.46,75.79,,,,,
Bantul,80.69,81.39,,,,,
Gunung Kidul,70.96,71.24,,,,,
Sleman,84.31,84.77,,,,,
Kota Yogyakarta,87.69,88.28,,,,,
JAWA TIMUR,72.75,73.38,,,,,
Pacitan,69.37,70.19,,,,,
Ponorogo,71.87,72.5,,,,,
Trenggalek,71,71.73,,,,,
Tulungagung,74.06,74.61,,,,,
Blitar,71.86,72.49,,,,,
Kediri,73.46,73.96,,,,,
Malang,71.38,72.16,,,,,
Lumajang,66.95,67.87,,,,,
Jember,67.97,68.64,,,,,
Banyuwangi,71.94,72.61,,,,,
Bondowoso,67.31,67.99,,,,,
Situbondo,68.25,69.16,,,,,
Probolinggo,66.96,67.79,,,,,
Pasuruan,69.68,70.29,,,,,
Sidoarjo,81.02,81.55,,,,,
Mojokerto,74.89,75.53,,,,,
Jombang,74.05,74.6,,,,,
Nganjuk,72.93,73.71,,,,,
Madiun,72.39,72.97,,,,,
Magetan,74.85,75.41,,,,,
Ngawi,71.75,72.47,,,,,
Bojonegoro,70.12,70.85,,,,,
Tuban,69.67,70.34,,,,,
Lamongan,74.02,74.53,,,,,
Gresik,77.16,77.98,,,,,
Bangkalan,65.05,65.75,,,,,
Sampang,63.39,64.13,,,,,
Pamekasan,66.99,67.96,,,,,
Sumenep,67.87,68.61,,,,,
Kota Kediri,79.59,80.44,,,,,
Kota Blitar,79.93,80.63,,,,,
Kota Malang,82.71,83.39,,,,,
Kota Probolinggo,74.56,75.43,,,,,
Kota Pasuruan,76.54,77.17,,,,,
Kota Mojokerto,79.32,80.07,,,,,
Kota Madiun,82.01,82.71,,,,,
Kota Surabaya,82.74,83.45,,,,,
Kota Batu,77.22,78.18,,,,,
BANTEN,73.32,73.87,,,,,
Pandeglang,65.84,66.42,,,,,
Lebak,64.71,65.21,,,,,
Tangerang,72.97,73.43,,,,,
Serang,67.75,68.39,,,,,
Kota Tangerang,78.9,79.46,,,,,
Kota Cilegon,73.95,74.54,,,,,
Kota Serang,72.98,73.48,,,,,
Kota Tangerang Selatan,81.95,82.28,,,,,
BALI,76.44,77.1,,,,,
Jembrana,73.58,74.04,,,,,
Tabanan,76.75,77.43,,,,,
Badung,82.13,83.08,,,,,
Gianyar,78.39,79.24,,,,,
Klungkung,72.55,73.11,,,,,
Bangli,70.26,70.79,,,,,
Karangasem,68.28,68.91,,,,,
Buleleng,73.45,73.97,,,,,
Kota Denpasar,84.37,84.73,,,,,
NUSA TENGGARA BARAT,69.46,70.2,,,,,
Lombok Barat,69.41,70.15,,,,,
Lombok Tengah,67.57,68.4,,,,,
Lombok Timur,67.59,68.41,,,,,
Sumbawa,68.89,69.87,,,,,
Dompu,69.15,69.98,,,,,
Bima,67.57,68.28,,,,,
Sumbawa Barat,72.65,73.17,,,,,
Lombok Utara,65.7,66.62,,,,,
Kota Mataram,79.59,80.09,,,,,
Kota Bima,76.84,77.36,,,,,
NUSA TENGGARA TIMUR,65.9,66.68,,,,,
Sumba Barat,64.43,65.22,,,,,
Sumba Timur,66.17,67.05,,,,,
Kupang,65.04,65.82,,,,,
Timor Tengah Selatan,62.73,63.58,,,,,
Timor Tengah Utara,64.26,65.16,,,,,
